first_name,last_name,bbr_url,image_url
Aaron,Holiday,https://www.basketball-reference.com/players/h/holidaa01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/holidaa01.jpg
Jrue,Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/holidjr01.jpg
Ron,Holland,https://www.basketball-reference.com/players/h/hollaro01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hollaro01.jpg
DaRon,Holmes,https://www.basketball-reference.com/players/h/holmeda01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/holmeda01.jpg
Richaun,Holmes,https://www.basketball-reference.com/players/h/holmeri01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/holmeri01.jpg
Chet,Holmgren,https://www.basketball-reference.com/players/h/holmgch01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/holmgch01.jpg
Jalen,Hood-Schifino,https://www.basketball-reference.com/players/h/hoodsja01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hoodsja01.jpg
Al,Horford,https://www.basketball-reference.com/players/h/horfoal01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/horfoal01.jpg
Talen,Horton-Tucker,https://www.basketball-reference.com/players/h/hortota01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/hortota01.jpg
Caleb,Houstan,https://www.basketball-reference.com/players/h/houstca01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/houstca01.jpg
Jett,Howard,https://www.basketball-reference.com/players/h/howarje01.html,https://qfjauqdtqjbdbiadnwvj.supabase.co/storage/v1/object/public/Players/howarje01.jpg
